round,period,step,bids,asks,cbid,cask,trade,price,bprofits,sprofits
0,0,46,"[0.08, 0.39, 0.15, 0.34]","[None, 0.64, 0.96, 0.84]",0.39,0.64,0,,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
0,0,47,"[0.04, 0.26, 0.01, 0.17]","[None, 0.75, 0.97, 0.87]",0.26,0.75,0,,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
0,0,48,"[0.18, 0.1, 0.43, 0.09]","[None, 0.6, 0.76, 0.59]",0.43,0.59,0,,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
0,0,49,"[0.17, 0.31, 0.06, 0.07]","[None, 0.62, 0.88, 0.96]",0.31,0.62,0,,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
1,0,0,"[0.61, 0.56, 0.18, 0.67]","[0.99, 0.37, 0.99, 0.79]",,,1,0.52,"[0.0, 0.0, 0.0, 0.23]","[0.0, 0.49, 0.0, 0.0]"
1,0,1,"[0.48, 0.06, 0.25, 0.36]","[0.82, 0.37, 0.57, 0.61]",,,1,0.42,"[0.57, 0.0, 0.0, 0.23]","[0.0, 0.81, 0.0, 0.0]"
1,0,2,"[0.55, 0.15, 0.14, 0.42]","[0.87, 0.44, 0.65, 0.92]",,,1,0.49,"[0.74, 0.0, 0.0, 0.23]","[0.0, 0.86, 0.0, 0.0]"
1,0,3,"[0.4, 0.01, 0.23, 0.21]","[0.21, 0.96, 0.2, 0.7]",,,1,0.3,"[1.07, 0.0, 0.0, 0.23]","[0.0, 0.86, 0.28, 0.0]"
1,0,4,"[0.38, 0.47, 0.12, 0.58]","[0.78, 0.98, 0.76, 0.5]",,,1,0.54,"[1.07, 0.0, 0.0, 0.33]","[0.0, 0.86, 0.28, 0.35]"
1,0,5,"[0.17, 0.61, 0.19, 0.26]","[0.98, 0.71, 0.88, 0.86]",0.61,0.71,0,,"[1.07, 0.0, 0.0, 0.33]","[0.0, 0.86, 0.28, 0.35]"
1,0,6,"[0.11, 0.7, 0.34, 0.05]","[0.7, 0.7, 0.35, 0.8]",,,1,0.52,"[1.07, 0.36, 0.0, 0.33]","[0.0, 0.86, 0.71, 0.35]"
1,0,7,"[0.13, 0.58, 0.23, 0.04]","[0.07, 0.84, 0.96, 0.3]",,,1,0.32,"[1.07, 0.68, 0.0, 0.33]","[0.25, 0.86, 0.71, 0.35]"
1,0,8,"[0.02, 0.06, 0.2, 0.29]","[0.91, 0.81, 0.8, 0.41]",0.29,0.41,0,,"[1.07, 0.68, 0.0, 0.33]","[0.25, 0.86, 0.71, 0.35]"
1,0,9,"[0.29, 0.29, 0.1, 0.16]","[1.0, 0.73, 0.86, 0.55]",0.29,0.55,0,,"[1.07, 0.68, 0.0, 0.33]","[0.25, 0.86, 0.71, 0.35]"
1,0,10,"[0.39, 0.25, 0.11, 0.02]","[0.82, 0.83, 0.66, 0.71]",0.39,0.66,0,,"[1.07, 0.68, 0.0, 0.33]","[0.25, 0.86, 0.71, 0.35]"
1,0,11,"[0.37, 0.32, 0.39, 0.34]","[0.74, 0.86, 0.47, 0.8]",0.39,0.47,0,,"[1.07, 0.68, 0.0, 0.33]","[0.25, 0.86, 0.71, 0.35]"
1,0,12,"[0.44, 0.09, 0.36, 0.17]","[0.43, 0.69, 0.75, 0.85]",,,1,0.43,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,13,"[None, 0.34, 0.05, 0.24]","[0.75, 0.89, 0.65, 0.74]",0.34,0.65,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,14,"[None, 0.09, 0.13, 0.09]","[0.73, 0.77, 0.63, 0.55]",0.13,0.55,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,15,"[None, 0.31, 0.06, 0.24]","[0.74, 0.82, 0.76, 0.8]",0.31,0.74,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,16,"[None, 0.32, 0.12, 0.1]","[0.83, 0.78, 0.42, 0.64]",0.32,0.42,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,17,"[None, 0.22, 0.34, 0.2]","[0.64, 0.91, 0.72, 0.65]",0.34,0.64,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,18,"[None, 0.34, 0.1, 0.21]","[0.77, 0.86, 0.74, 0.82]",0.34,0.74,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,19,"[None, 0.05, 0.37, 0.15]","[0.64, 0.97, 0.46, 0.45]",0.37,0.45,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,20,"[None, 0.1, 0.06, 0.15]","[0.99, 0.8, 0.98, 0.7]",0.15,0.7,0,,"[1.09, 0.68, 0.0, 0.33]","[0.31, 0.86, 0.71, 0.35]"
1,0,21,"[None, 0.27, 0.32, 0.06]","[0.99, 0.79, 0.8, 0.42]",,,1,0.37,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,22,"[None, 0.37, 0.4, 0.27]","[0.93, 0.74, 0.9, 0.72]",0.4,0.72,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,23,"[None, 0.3, 0.22, 0.12]","[0.8, 0.73, 0.73, 0.81]",0.3,0.73,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,24,"[None, 0.21, 0.39, 0.08]","[0.63, 0.78, 0.81, 0.51]",0.39,0.51,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,25,"[None, 0.36, 0.33, 0.06]","[0.76, 0.99, 0.82, 0.59]",0.36,0.59,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,26,"[None, 0.05, 0.05, 0.06]","[0.89, 0.95, 0.71, 0.48]",0.06,0.48,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,27,"[None, 0.09, 0.39, 0.01]","[0.99, 0.8, 0.92, 0.5]",0.39,0.5,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,28,"[None, 0.07, 0.08, 0.09]","[0.84, 0.8, 0.81, 0.8]",0.09,0.8,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,29,"[None, 0.16, 0.01, 0.2]","[0.71, 1.0, 0.64, 0.97]",0.2,0.64,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,30,"[None, 0.34, 0.21, 0.06]","[0.81, 0.79, 0.75, 0.45]",0.34,0.45,0,,"[1.09, 0.68, 0.08, 0.33]","[0.31, 0.86, 0.71, 0.45]"
1,0,31,"[None, 0.42, 0.01, 0.22]","[0.97, 0.99, 0.47, 1.0]",,,1,0.44,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,32,"[None, 0.31, 0.15, 0.23]","[0.85, 0.73, 0.72, 0.52]",0.31,0.52,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,33,"[None, 0.32, 0.41, 0.03]","[0.63, 0.83, 0.8, 0.68]",0.41,0.63,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,34,"[None, 0.15, 0.05, 0.17]","[0.77, 0.74, 0.76, 0.67]",0.17,0.67,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,35,"[None, 0.03, 0.01, 0.17]","[0.9, 0.72, 0.65, 0.93]",0.17,0.65,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,36,"[None, 0.15, 0.38, 0.16]","[0.77, 0.77, 0.7, 0.73]",0.38,0.7,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,37,"[None, 0.1, 0.39, 0.22]","[0.69, 0.97, 0.97, 0.72]",0.39,0.69,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,38,"[None, 0.16, 0.16, 0.17]","[0.95, 0.96, 0.83, 0.94]",0.17,0.83,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,39,"[None, 0.28, 0.32, 0.09]","[0.76, 0.98, 0.73, 0.49]",0.32,0.49,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,40,"[None, 0.1, 0.06, 0.03]","[0.91, 0.96, 0.87, 0.84]",0.1,0.84,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,41,"[None, 0.23, 0.14, 0.16]","[0.83, 0.75, 0.94, 0.7]",0.23,0.7,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,42,"[None, 0.33, 0.2, 0.05]","[0.73, 0.8, 0.71, 0.67]",0.33,0.67,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,43,"[None, 0.25, 0.21, 0.01]","[0.85, 0.69, 0.99, 0.7]",0.25,0.69,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,44,"[None, 0.24, 0.3, 0.24]","[0.76, 0.9, 0.68, 0.65]",0.3,0.65,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,45,"[None, 0.19, 0.06, 0.19]","[0.81, 0.85, 0.78, 0.67]",0.19,0.67,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,46,"[None, 0.16, 0.23, 0.26]","[0.8, 0.83, 0.88, 0.55]",0.26,0.55,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,47,"[None, 0.08, 0.22, 0.04]","[0.64, 0.85, 0.94, 0.87]",0.22,0.64,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,48,"[None, 0.32, 0.06, 0.15]","[0.75, 0.91, 0.63, 0.71]",0.32,0.63,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
1,0,49,"[None, 0.1, 0.12, 0.25]","[0.75, 0.82, 0.68, 0.62]",0.25,0.62,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
2,0,0,"[0.02, 0.44, 0.21, 0.13]","[0.64, 0.77, 0.27, 0.59]",,,1,0.35,"[0.0, 0.26, 0.0, 0.0]","[0.0, 0.0, 0.32, 0.0]"
2,0,1,"[0.14, 0.43, 0.24, 0.02]","[0.9, 0.26, 0.5, 0.33]",,,1,0.34,"[0.0, 0.44, 0.0, 0.0]","[0.0, 0.3, 0.32, 0.0]"
2,0,2,"[0.19, 0.21, 0.54, 0.43]","[0.52, 0.88, 0.77, 0.41]",,,1,0.47,"[0.0, 0.44, 0.45, 0.0]","[0.0, 0.3, 0.32, 0.41]"
2,0,3,"[0.17, 0.08, 0.74, 0.89]","[0.8, 0.66, 0.33, 0.73]",,,1,0.61,"[0.0, 0.44, 0.45, 0.37]","[0.0, 0.3, 0.84, 0.41]"
2,0,4,"[0.49, 0.35, 0.4, 0.01]","[0.4, 0.41, 0.87, 0.59]",,,1,0.45,"[0.49, 0.44, 0.45, 0.37]","[0.1, 0.3, 0.84, 0.41]"
2,0,5,"[0.07, 0.16, 0.36, 0.3]","[0.95, 0.53, 0.55, 0.58]",0.36,0.53,0,,"[0.49, 0.44, 0.45, 0.37]","[0.1, 0.3, 0.84, 0.41]"
2,0,6,"[0.42, 0.46, 0.48, 0.66]","[0.82, 0.77, 0.98, 0.9]",,,1,0.72,"[0.49, 0.44, 0.45, 0.58]","[0.1, 0.62, 0.84, 0.41]"
2,0,7,"[0.41, 0.32, 0.0, 0.74]","[0.75, 0.97, 0.96, 0.58]",,,1,0.66,"[0.49, 0.44, 0.45, 0.82]","[0.1, 0.62, 0.84, 0.99]"
2,0,8,"[0.08, 0.04, 0.56, 0.7]","[0.49, 0.62, 0.67, 0.67]",,,1,0.59,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,9,"[0.14, 0.47, 0.07, None]","[0.63, 0.87, 0.62, 0.55]",0.47,0.55,0,,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,10,"[0.27, 0.14, 0.14, None]","[1.0, 0.73, 0.73, 0.92]",0.27,0.73,0,,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,11,"[0.47, 0.38, 0.6, None]","[0.55, 0.63, 0.94, 0.82]",,,1,0.57,"[0.49, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 0.99]"
2,0,12,"[0.43, 0.02, 0.45, None]","[0.87, 0.91, 0.85, 0.68]",0.45,0.68,0,,"[0.49, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 0.99]"
2,0,13,"[0.53, 0.15, 0.05, None]","[0.77, 0.99, 0.98, 0.57]",,,1,0.55,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,14,"[0.19, 0.35, 0.09, None]","[0.79, 0.64, 0.9, 0.96]",0.35,0.64,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,15,"[0.45, 0.14, 0.19, None]","[0.8, 0.89, 0.5, 0.89]",0.45,0.5,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,16,"[0.06, 0.44, 0.27, None]","[0.93, 0.67, 0.75, 0.77]",0.44,0.67,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,17,"[0.34, 0.0, 0.17, None]","[0.93, 0.81, 0.77, 0.84]",0.34,0.77,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,18,"[0.16, 0.44, 0.13, None]","[0.91, 0.77, 0.7, 0.83]",0.44,0.7,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,19,"[0.31, 0.14, 0.3, None]","[0.96, 0.58, 0.78, 0.87]",0.31,0.58,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,20,"[0.28, 0.25, 0.11, None]","[0.71, 0.99, 0.72, 0.85]",0.28,0.71,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,21,"[0.48, 0.13, 0.33, None]","[0.79, 0.93, 0.96, 0.86]",0.48,0.79,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,22,"[0.51, 0.41, 0.42, None]","[0.72, 0.83, 0.94, 0.82]",0.51,0.72,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,23,"[0.19, 0.36, 0.26, None]","[0.92, 0.8, 0.86, 0.82]",0.36,0.8,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,24,"[0.35, 0.08, 0.11, None]","[0.85, 0.65, 0.94, 0.72]",0.35,0.65,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,25,"[0.47, 0.3, 0.53, None]","[0.93, 0.96, 0.91, 0.84]",0.53,0.84,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,26,"[0.31, 0.24, 0.33, None]","[0.84, 0.93, 0.71, 0.7]",0.33,0.7,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,27,"[0.0, 0.24, 0.09, None]","[0.86, 0.82, 0.51, 0.76]",0.24,0.51,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,28,"[0.26, 0.07, 0.01, None]","[0.83, 0.85, 0.64, 0.71]",0.26,0.64,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,29,"[0.29, 0.3, 0.2, None]","[0.75, 0.86, 0.61, 0.83]",0.3,0.61,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,30,"[0.08, 0.32, 0.54, None]","[0.99, 0.6, 0.48, 0.96]",,,1,0.51,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,31,"[0.15, 0.19, 0.2, None]","[0.98, 0.52, 0.54, 0.91]",0.2,0.52,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,32,"[0.53, 0.29, 0.31, None]","[0.89, 0.7, 0.62, 0.76]",0.53,0.62,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,33,"[0.27, 0.25, 0.11, None]","[0.74, 0.92, 0.72, 0.97]",0.27,0.72,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,34,"[0.1, 0.11, 0.21, None]","[0.74, 0.92, 0.67, 0.89]",0.21,0.67,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,35,"[0.31, 0.18, 0.07, None]","[0.73, 0.6, 0.84, 0.77]",0.31,0.6,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
