r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
1,0,19,"[0.43, 0.39, 0.45, 0.43]","[0.45, 0.86, 0.43, 0.52]",,,True,0.44,0.47,0.27,B2,S2
1,0,20,"[0.43, 0.46, None, 0.43]","[0.45, 0.7, None, 0.52]",,,True,0.46,0.19,0.01,B1,S0
1,0,21,"[0.43, 0.23, None, 0.43]","[0.69, 0.53, None, 0.52]",0.43,0.52,False,,,,,
1,0,22,"[0.43, 0.17, 0.52, 0.43]","[0.69, 0.54, 0.43, 0.52]",,,True,0.48,0.42,0.25,B2,S2
1,0,23,"[0.43, 0.33, None, 0.43]","[0.69, 0.57, None, 0.52]",0.43,0.52,False,,,,,
1,0,24,"[0.43, 0.53, 0.52, 0.43]","[0.69, 0.56, 0.43, 0.52]",,,True,0.48,0.16,0.25,B1,S2
1,0,25,"[0.43, 0.5, None, 0.43]","[0.69, 0.99, None, 0.52]",0.5,0.52,False,,,,,
1,0,26,"[0.43, 0.08, 0.52, 0.43]","[0.69, 0.85, 0.5, 0.52]",,,True,0.51,0.28,0.23,B2,S2
1,0,27,"[0.43, 0.18, None, 0.43]","[0.69, 0.32, None, 0.52]",,,True,0.38,0.06,0.09,B0,S1
1,0,28,"[0.33, 0.45, None, 0.43]","[0.69, 0.72, None, 0.52]",0.45,0.52,False,,,,,
1,0,29,"[0.33, 0.33, 0.52, 0.43]","[0.69, 0.93, 0.45, 0.52]",,,True,0.49,0.11,0.16,B2,S2
1,0,30,"[0.33, 0.51, None, 0.43]","[0.69, 0.41, None, 0.52]",,,True,0.46,0.13,0.11,B1,S1
1,0,31,"[0.33, 0.02, None, 0.43]","[0.69, 0.51, None, 0.52]",0.43,0.51,False,,,,,
1,0,32,"[0.33, 0.38, 0.51, 0.43]","[0.69, 1.0, 0.99, 0.52]",,,True,0.51,0.07,0.1,B2,S1
1,0,33,"[0.33, 0.05, None, 0.43]","[0.69, 0.81, None, 0.52]",0.43,0.52,False,,,,,
1,0,34,"[0.33, 0.29, 0.01, 0.43]","[0.69, 0.69, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,35,"[0.33, 0.3, 0.01, 0.43]","[0.69, 0.92, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,36,"[0.33, 0.16, 0.01, 0.43]","[0.69, 0.78, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,37,"[0.33, 0.0, 0.01, 0.43]","[0.69, 0.89, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,38,"[0.33, 0.31, 0.01, 0.43]","[0.69, 0.99, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,39,"[0.33, 0.36, 0.01, 0.43]","[0.69, 0.49, 0.99, 0.52]",0.43,0.49,False,,,,,
1,0,40,"[0.33, 0.15, 0.01, 0.43]","[0.69, 0.83, 0.99, 0.52]",0.43,0.49,False,,,,,
1,0,41,"[0.33, 0.23, 0.01, 0.43]","[0.69, 0.47, 0.99, 0.52]",0.43,0.47,False,,,,,
1,0,42,"[0.33, 0.45, 0.47, 0.43]","[0.69, 0.84, 0.99, 0.52]",,,True,0.47,0.05,0.04,B2,S1
1,0,43,"[0.33, 0.4, None, 0.43]","[0.69, 0.78, None, 0.52]",0.43,0.52,False,,,,,
1,0,44,"[0.33, 0.32, 0.01, 0.43]","[0.69, 0.68, 0.99, 0.52]",0.43,0.52,False,,,,,
1,0,45,"[0.33, 0.56, 0.01, 0.43]","[0.69, 0.91, 0.99, 0.52]",,,True,0.54,0.03,0.02,B1,S3
1,0,46,"[0.33, 0.29, None, 0.43]","[0.69, 0.99, None, 0.52]",0.43,0.52,False,,,,,
