round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity
22,48,0.5219359579068452,23.375769760987705,48,23.277588761152295,0.9957998816364427,0.5212050285458724,0.000730929360972854,0
23,51,0.5373669457867423,25.155837387650628,51,24.33154523647452,0.9672325695832027,0.5020803647946488,0.035286580992093475,0
24,41,0.43226797660841876,21.040808302949568,42,20.998815825238243,0.9980042364767213,0.4742816843780942,0.042013707769675446,1
25,58,0.5379967811539981,32.958828094841294,61,32.93127123375544,0.9991639004576692,0.4990494529086365,0.03894732824536157,3
26,49,0.5365936776363286,24.743098418327047,50,24.65389274093561,0.9963947248690017,0.49325878949980717,0.04333488813652142,1
27,50,0.5887684371623061,24.337046172425236,52,24.203373608251194,0.994507445019129,0.5448289974491665,0.04393943971313963,2
28,53,0.47445260340897655,28.698879281427832,54,28.51359196298849,0.993543743760083,0.48177021044452384,0.007317607035547291,1
29,54,0.5288755781919299,25.874090580431286,57,25.76275508259232,0.9956970275924144,0.5023268984151646,0.026548679776765227,3
30,50,0.5110270023800503,20.714469576787856,52,20.6604225537682,0.9973908565305375,0.506350384488163,0.004676617891887225,2
31,49,0.4766058824265249,23.490034536190585,50,23.451568826388822,0.9983624668689822,0.47918813670761495,0.002582254281090046,1
32,50,0.5558338561207251,25.045241120292413,50,25.003920030716863,0.9983501420738141,0.5094676225422168,0.04636623357850833,0
33,49,0.5176653541597118,25.794276638087048,50,25.787709460452753,0.9997454017522399,0.5027107180610199,0.014954636098691965,1
34,51,0.4341383982978509,27.783742510877218,52,27.71528547356919,0.997536075736333,0.4609436436786952,0.026805245380844334,1
35,45,0.49417491665167673,21.16721918093306,45,20.327007415302173,0.960305992088572,0.4782493604252793,0.015925556226397408,0
36,49,0.5006601856007122,23.69332080492535,50,23.45227921360631,0.9898266016273696,0.48315088671620365,0.017509298884508584,1
37,46,0.4717093743231663,24.401367455765136,48,24.323657027072738,0.9968153248446723,0.5065194627081083,0.03481008838494204,2
38,48,0.46994536417523636,24.814580689112766,50,24.751054292059422,0.9974399568604754,0.4806258982633458,0.010680534088109428,2
39,56,0.44360131534421166,30.55428437496284,57,30.544252875377147,0.99967168271845,0.47990786097540095,0.03630654563118929,1
