r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
1,0,41,"[0.38, 0.32, 0.01, 0.35]","[0.49, 0.61, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,42,"[0.38, 0.23, 0.01, 0.35]","[0.49, 0.73, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,43,"[0.38, 0.3, 0.01, 0.35]","[0.49, 0.72, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,44,"[0.38, 0.27, 0.01, 0.35]","[0.49, 0.94, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,45,"[0.38, 0.29, 0.01, 0.35]","[0.49, 0.6, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,46,"[0.38, 0.03, 0.01, 0.35]","[0.49, 0.8, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,47,"[0.38, 0.34, 0.01, 0.35]","[0.49, 0.84, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,48,"[0.38, 0.22, 0.46, 0.35]","[0.49, 0.97, 0.38, 0.46]",,,True,0.42,0.08,0.09,B2,S2
1,0,49,"[0.38, 0.14, None, 0.35]","[0.49, 0.5, None, 0.46]",0.38,0.46,False,,,,,
2,0,0,"[0.0, 0.26, None, 0.95]","[1.0, 0.03, None, 0.06]",,,True,0.49,0.46,0.49,B3,S1
2,0,1,"[0.09, 0.83, None, 0.91]","[0.9, 0.54, None, 0.06]",,,True,0.49,0.43,0.43,B3,S3
2,0,2,"[0.19, 0.58, None, 0.87]","[0.8, 0.18, None, 0.08]",,,True,0.47,0.39,0.39,B3,S3
2,0,3,"[0.28, 0.39, None, 0.66]","[0.7, 0.38, None, 0.26]",,,True,0.46,0.2,0.2,B3,S3
2,0,4,"[0.38, 0.32, None, 0.35]","[0.6, 0.49, None, 0.3]",,,True,0.34,0.6,0.04,B0,S3
2,0,5,"[0.45, 0.73, None, 0.35]","[0.5, 0.14, None, 0.38]",,,True,0.43,0.42,0.38,B1,S1
2,0,6,"[0.54, 0.71, None, 0.35]","[0.4, 0.76, None, 0.38]",,,True,0.55,0.29,0.17,B1,S3
2,0,7,"[0.63, 0.63, None, 0.35]","[0.3, 0.98, None, 0.41]",,,True,0.46,0.43,0.46,B0,S0
2,0,8,"[0.52, 0.51, None, 0.35]","[0.49, 0.46, None, 0.41]",,,True,0.47,0.18,0.05,B0,S3
2,0,9,"[0.57, 0.61, None, 0.35]","[0.42, 0.47, None, 0.46]",,,True,0.52,0.18,0.16,B1,S0
2,0,10,"[0.63, 0.14, None, 0.35]","[0.44, 0.31, None, 0.46]",,,True,0.47,0.16,0.37,B0,S1
2,0,11,"[0.38, 0.08, None, 0.35]","[0.44, 0.17, None, 0.46]",,,True,0.27,0.11,0.14,B0,S1
2,0,12,"[0.24, 0.35, None, 0.35]","[0.44, 0.39, None, 0.46]",0.35,0.39,False,,,,,
2,0,13,"[0.24, 0.19, 0.39, 0.35]","[0.44, 0.73, 0.35, 0.46]",,,True,0.37,0.48,0.37,B2,S2
2,0,14,"[0.24, 0.27, None, 0.35]","[0.44, 0.24, None, 0.46]",,,True,0.3,0.06,0.14,B3,S1
2,0,15,"[0.24, 0.46, None, 0.21]","[0.44, 0.91, None, 0.46]",,,True,0.45,0.06,0.01,B1,S0
2,0,16,"[0.24, 0.01, None, 0.21]","[0.49, 0.43, None, 0.46]",0.24,0.43,False,,,,,
2,0,17,"[0.24, 0.06, 0.43, 0.21]","[0.49, 0.73, 0.24, 0.46]",,,True,0.34,0.48,0.22,B2,S2
2,0,18,"[0.24, 0.13, None, 0.21]","[0.49, 0.28, None, 0.46]",0.24,0.28,False,,,,,
2,0,19,"[0.24, 0.21, 0.28, 0.21]","[0.49, 0.35, 0.99, 0.46]",,,True,0.28,0.45,0.09,B2,S1
2,0,20,"[0.24, 0.04, None, 0.21]","[0.49, 0.98, None, 0.46]",0.24,0.46,False,,,,,
2,0,21,"[0.24, 0.27, 0.46, 0.21]","[0.49, 0.65, 0.99, 0.46]",,,True,0.46,0.22,0.0,B2,S3
2,0,22,"[0.24, 0.06, None, 0.21]","[0.49, 0.55, None, 0.66]",0.24,0.49,False,,,,,
2,0,23,"[0.24, 0.28, 0.01, 0.21]","[0.49, 0.76, 0.99, 0.66]",0.28,0.49,False,,,,,
2,0,24,"[0.24, 0.19, 0.01, 0.21]","[0.49, 0.66, 0.99, 0.66]",0.28,0.49,False,,,,,
2,0,25,"[0.24, 0.33, 0.01, 0.21]","[0.49, 0.47, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,26,"[0.24, 0.2, 0.01, 0.21]","[0.49, 0.82, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,27,"[0.24, 0.2, 0.01, 0.21]","[0.49, 0.61, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,28,"[0.24, 0.3, 0.01, 0.21]","[0.49, 0.86, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,29,"[0.24, 0.05, 0.01, 0.21]","[0.49, 0.61, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,30,"[0.24, 0.11, 0.01, 0.21]","[0.49, 0.74, 0.99, 0.66]",0.33,0.47,False,,,,,
2,0,31,"[0.24, 0.39, 0.01, 0.21]","[0.49, 0.7, 0.99, 0.66]",0.39,0.47,False,,,,,
2,0,32,"[0.24, 0.15, 0.01, 0.21]","[0.49, 0.67, 0.39, 0.66]",,,True,0.39,0.08,0.13,B1,S2
2,0,33,"[0.24, 0.38, None, 0.21]","[0.49, 0.79, None, 0.66]",0.38,0.49,False,,,,,
2,0,34,"[0.24, 0.03, 0.01, 0.21]","[0.49, 0.87, 0.99, 0.66]",0.38,0.49,False,,,,,
2,0,35,"[0.24, 0.25, 0.01, 0.21]","[0.49, 0.46, 0.99, 0.66]",0.38,0.46,False,,,,,
